,folder,head_folder,with_mask,fold
0,1000216489776414077,../data/train,False,3
1,1000603527582775543,../data/train,True,1
2,1000660467359258186,../data/train,True,6
3,100071707854144929,../data/train,False,2
4,1000823728928031783,../data/train,True,1
5,1000934780200790693,../data/train,False,1
6,1001436206602675989,../data/train,True,2
7,10016536018877742,../data/train,True,1
8,1001792196232384964,../data/train,False,4
9,1002294268041839364,../data/train,True,1
10,1002860788164505892,../data/train,False,2
11,1003469013039808123,../data/train,True,5
12,1003490578134896390,../data/train,True,3
13,10038729395249389,../data/train,False,1
14,1003994937842600998,../data/train,True,4
15,1004713532062164491,../data/train,False,1
16,1004946886927737572,../data/train,True,6
17,1006714073984511039,../data/train,True,2
18,1006793757071532139,../data/train,False,4
19,1008059333185464192,../data/train,True,2
20,1008228711816244046,../data/train,False,6
21,1008786564566646931,../data/train,False,2
22,1008927340998874780,../data/train,False,4
23,1009826116837013927,../data/train,False,5
24,1009978130200705421,../data/train,False,2
25,1010442478196990831,../data/train,True,1
26,1010450737335314351,../data/train,False,2
27,1010494526449412435,../data/train,False,1
28,1011991214639847439,../data/train,False,1
29,1013942970059727329,../data/train,False,6
30,1014013767105267825,../data/train,True,2
31,1014219735188126584,../data/train,False,5
32,1015004752231541787,../data/train,True,4
33,1015192232086434694,../data/train,True,5
34,1015638064991661829,../data/train,False,4
35,1015795485129760073,../data/train,False,1
36,1016299768525363991,../data/train,True,5
37,1017161294763190782,../data/train,False,5
38,101725507974209875,../data/train,False,6
39,1017261498242457520,../data/train,False,4
40,1017966561291686881,../data/train,True,4
41,1018201077877280524,../data/train,False,1
42,1019747901459344689,../data/train,True,5
43,1019974467277094887,../data/train,True,3
44,1020484857235954830,../data/train,True,4
45,1020938970983127024,../data/train,False,4
46,1020975421627541928,../data/train,False,2
47,102129097533949528,../data/train,False,2
48,1021472947691975676,../data/train,False,1
49,1021537934095520750,../data/train,True,2
50,1021669416575304841,../data/train,True,6
51,1022104514578519270,../data/train,True,2
52,102251599132794748,../data/train,True,2
53,1022844578883577461,../data/train,False,3
54,1023170669334151043,../data/train,True,6
55,1023779081293051446,../data/train,True,1
56,1024040752866694570,../data/train,True,4
57,1025601557353712387,../data/train,False,2
58,102688976802944165,../data/train,True,3
59,1026930305418425156,../data/train,True,6
60,1027498399937731739,../data/train,False,3
61,1027621641022168838,../data/train,True,3
62,1028558144911794996,../data/train,False,5
63,1028719538237845789,../data/train,False,2
64,1028812987824095369,../data/train,False,5
65,1028918171501282624,../data/train,False,6
66,1029200331892438991,../data/train,False,3
67,1029379057144333137,../data/train,True,1
68,1029447653104848738,../data/train,False,1
69,1029669746148696544,../data/train,True,5
70,1030053475121369536,../data/train,False,1
71,1030175938012644685,../data/train,True,1
72,1030801092171329841,../data/train,True,2
73,1031727899627688055,../data/train,False,4
74,1032264697118653131,../data/train,False,2
75,103254557049333037,../data/train,True,5
76,1032809161010157334,../data/train,True,2
77,1033241944351009928,../data/train,False,6
78,1034370718901915939,../data/train,True,1
79,1034856057197571765,../data/train,True,1
80,1035109812839179499,../data/train,True,4
81,1035115825220543849,../data/train,False,2
82,103545453988269646,../data/train,False,3
83,1036514730419020672,../data/train,False,6
84,1036652869903539526,../data/train,False,6
85,1036781306679205924,../data/train,True,6
86,103733959913984251,../data/train,True,3
87,1037509194786240155,../data/train,True,5
88,1037637192748343195,../data/train,True,4
89,1039356812304113823,../data/train,False,2
90,1039499017168698744,../data/train,False,5
91,1040114145332266275,../data/train,False,2
92,1040287858654931079,../data/train,False,2
93,1040554858290084174,../data/train,True,5
94,1041194727173890276,../data/train,True,1
95,1041708881855568056,../data/train,True,6
96,1042672147854789492,../data/train,False,3
97,1043535019974112334,../data/train,False,1
98,1044167602023431120,../data/train,False,6
99,1044208670275475053,../data/train,False,1
100,1045354530720906678,../data/train,True,3
101,1045756772559720075,../data/train,False,4
102,1045910853722873646,../data/train,True,6
103,1045919570721429294,../data/train,True,2
104,1045947705986958647,../data/train,True,5
105,1047229739294854999,../data/train,True,6
